LAT,LON,YEAR,MO,DY,T2M
41.0,-8.125,2024,1,5,6.04
41.0,-7.5,2024,1,5,4.82
41.0,-6.875,2024,1,5,4.94
41.0,-6.25,2024,1,5,3.88
41.5,-9.375,2024,1,5,13.35
41.5,-8.75,2024,1,5,9.24
41.5,-8.125,2024,1,5,5.46
41.5,-7.5,2024,1,5,4.99
41.5,-6.875,2024,1,5,4.52
41.5,-6.25,2024,1,5,3.74
42.0,-9.375,2024,1,5,13.03
42.0,-8.75,2024,1,5,8.09
42.0,-8.125,2024,1,5,4.65
42.0,-7.5,2024,1,5,3.82
42.0,-6.875,2024,1,5,2.23
42.0,-6.25,2024,1,5,2.4
37.0,-9.375,2024,1,6,15.28
37.0,-8.75,2024,1,6,13.86
37.0,-8.125,2024,1,6,12.4
37.0,-7.5,2024,1,6,12.74
37.0,-6.875,2024,1,6,12.11
37.0,-6.25,2024,1,6,8.87
37.5,-9.375,2024,1,6,15.05
37.5,-8.75,2024,1,6,10.41
37.5,-8.125,2024,1,6,7.47
37.5,-7.5,2024,1,6,7.65
37.5,-6.875,2024,1,6,7.71
37.5,-6.25,2024,1,6,7.31
38.0,-9.375,2024,1,6,14.52
38.0,-8.75,2024,1,6,10.37
38.0,-8.125,2024,1,6,7.65
38.0,-7.5,2024,1,6,7.04
38.0,-6.875,2024,1,6,6.02
38.0,-6.25,2024,1,6,5.55
38.5,-9.375,2024,1,6,12.84
38.5,-8.75,2024,1,6,9.35
38.5,-8.125,2024,1,6,7.45
38.5,-7.5,2024,1,6,6.54
38.5,-6.875,2024,1,6,5.76
38.5,-6.25,2024,1,6,5.02
39.0,-9.375,2024,1,6,11.34
39.0,-8.75,2024,1,6,8.21
39.0,-8.125,2024,1,6,7.08
39.0,-7.5,2024,1,6,5.98
39.0,-6.875,2024,1,6,5.86
39.0,-6.25,2024,1,6,5.69
39.5,-9.375,2024,1,6,12.31
39.5,-8.75,2024,1,6,8.14
39.5,-8.125,2024,1,6,6.53
39.5,-7.5,2024,1,6,6.31
39.5,-6.875,2024,1,6,5.64
39.5,-6.25,2024,1,6,5.61
40.0,-9.375,2024,1,6,13.11
40.0,-8.75,2024,1,6,8.46
40.0,-8.125,2024,1,6,5.62
40.0,-7.5,2024,1,6,5.32
40.0,-6.875,2024,1,6,5.0
40.0,-6.25,2024,1,6,4.83
40.5,-9.375,2024,1,6,13.17
40.5,-8.75,2024,1,6,9.02
40.5,-8.125,2024,1,6,6.08
40.5,-7.5,2024,1,6,4.3
40.5,-6.875,2024,1,6,3.54
40.5,-6.25,2024,1,6,2.97
41.0,-9.375,2024,1,6,13.07
41.0,-8.75,2024,1,6,10.03
41.0,-8.125,2024,1,6,5.56
41.0,-7.5,2024,1,6,4.44
41.0,-6.875,2024,1,6,4.06
41.0,-6.25,2024,1,6,2.77
41.5,-9.375,2024,1,6,12.8
41.5,-8.75,2024,1,6,8.74
41.5,-8.125,2024,1,6,5.06
41.5,-7.5,2024,1,6,4.32
41.5,-6.875,2024,1,6,3.72
41.5,-6.25,2024,1,6,2.59
42.0,-9.375,2024,1,6,12.65
42.0,-8.75,2024,1,6,7.94
42.0,-8.125,2024,1,6,4.26
42.0,-7.5,2024,1,6,3.19
42.0,-6.875,2024,1,6,1.7
42.0,-6.25,2024,1,6,1.24
37.0,-9.375,2024,1,7,15.52
37.0,-8.75,2024,1,7,13.95
37.0,-8.125,2024,1,7,12.32
37.0,-7.5,2024,1,7,12.47
37.0,-6.875,2024,1,7,11.72
37.0,-6.25,2024,1,7,8.58
37.5,-9.375,2024,1,7,14.61
37.5,-8.75,2024,1,7,9.82
37.5,-8.125,2024,1,7,6.79
37.5,-7.5,2024,1,7,6.89
37.5,-6.875,2024,1,7,7.26
37.5,-6.25,2024,1,7,6.84
38.0,-9.375,2024,1,7,14.02
38.0,-8.75,2024,1,7,9.66
38.0,-8.125,2024,1,7,7.05
38.0,-7.5,2024,1,7,6.46
38.0,-6.875,2024,1,7,5.5
38.0,-6.25,2024,1,7,4.82
38.5,-9.375,2024,1,7,12.14
38.5,-8.75,2024,1,7,8.84
38.5,-8.125,2024,1,7,6.73
38.5,-7.5,2024,1,7,6.02
38.5,-6.875,2024,1,7,5.25
38.5,-6.25,2024,1,7,4.8
39.0,-9.375,2024,1,7,10.18
39.0,-8.75,2024,1,7,7.81
39.0,-8.125,2024,1,7,6.7
39.0,-7.5,2024,1,7,5.15
39.0,-6.875,2024,1,7,5.14
39.0,-6.25,2024,1,7,5.27
39.5,-9.375,2024,1,7,11.26
39.5,-8.75,2024,1,7,7.83
39.5,-8.125,2024,1,7,6.65
39.5,-7.5,2024,1,7,5.22
39.5,-6.875,2024,1,7,5.07
39.5,-6.25,2024,1,7,5.39
40.0,-9.375,2024,1,7,12.55
40.0,-8.75,2024,1,7,7.93
40.0,-8.125,2024,1,7,5.06
40.0,-7.5,2024,1,7,4.46
40.0,-6.875,2024,1,7,4.64
40.0,-6.25,2024,1,7,4.95
40.5,-9.375,2024,1,7,12.71
40.5,-8.75,2024,1,7,8.59
40.5,-8.125,2024,1,7,5.49
40.5,-7.5,2024,1,7,3.2
40.5,-6.875,2024,1,7,2.28
40.5,-6.25,2024,1,7,2.02
41.0,-9.375,2024,1,7,12.78
41.0,-8.75,2024,1,7,9.25
41.0,-8.125,2024,1,7,4.17
41.0,-7.5,2024,1,7,2.18
41.0,-6.875,2024,1,7,2.73
41.0,-6.25,2024,1,7,1.12
41.5,-9.375,2024,1,7,12.63
41.5,-8.75,2024,1,7,8.29
41.5,-8.125,2024,1,7,3.48
41.5,-7.5,2024,1,7,2.63
41.5,-6.875,2024,1,7,2.56
41.5,-6.25,2024,1,7,1.04
42.0,-9.375,2024,1,7,12.57
42.0,-8.75,2024,1,7,7.6
42.0,-8.125,2024,1,7,3.17
42.0,-7.5,2024,1,7,2.09
42.0,-6.875,2024,1,7,0.87
42.0,-6.25,2024,1,7,-0.05
37.0,-9.375,2024,1,8,16.69
37.0,-8.75,2024,1,8,15.09
37.0,-8.125,2024,1,8,13.41
37.0,-7.5,2024,1,8,12.92
37.0,-6.875,2024,1,8,11.2
37.0,-6.25,2024,1,8,8.32
37.5,-9.375,2024,1,8,15.84
37.5,-8.75,2024,1,8,10.97
37.5,-8.125,2024,1,8,7.85
37.5,-7.5,2024,1,8,6.73
37.5,-6.875,2024,1,8,6.68
37.5,-6.25,2024,1,8,6.31
38.0,-9.375,2024,1,8,15.12
38.0,-8.75,2024,1,8,10.33
38.0,-8.125,2024,1,8,7.26
38.0,-7.5,2024,1,8,6.46
38.0,-6.875,2024,1,8,5.7
38.0,-6.25,2024,1,8,4.84
38.5,-9.375,2024,1,8,12.59
38.5,-8.75,2024,1,8,8.54
38.5,-8.125,2024,1,8,6.32
38.5,-7.5,2024,1,8,5.81
38.5,-6.875,2024,1,8,5.29
38.5,-6.25,2024,1,8,4.51
39.0,-9.375,2024,1,8,9.62
39.0,-8.75,2024,1,8,6.93
39.0,-8.125,2024,1,8,6.05
39.0,-7.5,2024,1,8,4.63
39.0,-6.875,2024,1,8,4.67
39.0,-6.25,2024,1,8,4.16
39.5,-9.375,2024,1,8,10.06
39.5,-8.75,2024,1,8,6.53
39.5,-8.125,2024,1,8,5.29
39.5,-7.5,2024,1,8,3.81
39.5,-6.875,2024,1,8,3.61
39.5,-6.25,2024,1,8,3.35
40.0,-9.375,2024,1,8,11.7
40.0,-8.75,2024,1,8,7.23
40.0,-8.125,2024,1,8,3.75
40.0,-7.5,2024,1,8,2.56
40.0,-6.875,2024,1,8,2.59
40.0,-6.25,2024,1,8,3.31
40.5,-9.375,2024,1,8,12.22
40.5,-8.75,2024,1,8,8.03
40.5,-8.125,2024,1,8,4.89
40.5,-7.5,2024,1,8,2.06
40.5,-6.875,2024,1,8,0.99
