classification,parish,lat,lon,area_m2,HDD,CDD,E_Heating,E_Cooling
New building,Campanhã,41.17318063968611,-8.57224716070581,1631.99,969.45,221.98,6425885.69,1195486.83
New building,Campanhã,41.17013654659144,-8.575232579954042,8168.92,969.45,221.98,32164788.87,5984012.7
Old building,Campanhã,41.15068811197382,-8.585332712023622,16272.23,969.45,221.98,865377595.09,173381250.95
Commercial building,Campanhã,41.17154771292903,-8.574490697756087,2147.08,969.45,221.98,30741890.13,5719293.29
New building,Campanhã,41.17077429551737,-8.571506805956774,197.68,969.45,221.98,778365.32,144808.91
New building,Campanhã,41.14942158951388,-8.58531789660136,101.28,969.45,221.98,398769.94,74188.09
New building,Campanhã,41.17360038422124,-8.56885334383912,3108.81,969.45,221.98,12240814.78,2277309.87
New building,Campanhã,41.170880356156815,-8.576138071003692,303.72,969.45,221.98,1195873.88,222483.18
Old building,Campanhã,41.1711238819469,-8.573193276260245,1663.84,969.45,221.98,88485100.17,17728281.21
New building,Campanhã,41.170699884749055,-8.575692018040725,136.36,969.45,221.98,536918.38,99889.55
New building,Campanhã,41.148025388028636,-8.583797766065024,241.14,969.45,221.98,949470.12,176641.65
New building,Campanhã,41.16551723812131,-8.578178568570898,47.71,969.45,221.98,187857.24,34949.4
Commercial building,Campanhã,41.1732971641475,-8.568934859945292,1593.49,969.45,221.98,22815676.55,4244681.94
New building,Campanhã,41.16911937913871,-8.57346722902504,654.2,969.45,221.98,2575904.51,479227.31
Old building,Campanhã,41.14928385446361,-8.585002446799832,1776.82,969.45,221.98,94493408.96,18932065.66
Old building,Campanhã,41.148668943371995,-8.584512767277745,743.05,969.45,221.98,39516157.02,7917192.19
Old building,Campanhã,41.14879423757544,-8.584693698865792,786.68,969.45,221.98,41836717.66,8382124.16
New building,Campanhã,41.14797776713822,-8.585590071504896,371.25,969.45,221.98,1461793.2,271955.43
Old building,Campanhã,41.14926004601044,-8.584803953747832,1648.1,969.45,221.98,87648228.24,17560611.16
Old building,Campanhã,41.148783587876665,-8.585435704446983,1346.47,969.45,221.98,71606872.24,14346672.66
New building,Paranhos,41.182491581083646,-8.596720102935812,537.55,969.45,221.98,2116593.77,393776.07
New building,Paranhos,41.18266023534965,-8.596806344554789,49.29,969.45,221.98,194095.58,36110.0
New building,Paranhos,41.182787032896655,-8.59712974069465,203.49,969.45,221.98,801221.45,149061.12
Commercial building,Lordelo do Ouro e Massarelos,41.15582146879448,-8.629109084086954,6758.48,969.45,221.98,96768092.83,18002962.78
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.157170289208786,-8.611986361425279,2748.88,969.45,221.98,146189109.98,29289469.6
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.15279671151401,-8.606679835236042,3403.64,969.45,221.98,181009742.73,36265898.04
New building,Lordelo do Ouro e Massarelos,41.150494515689594,-8.654938257011443,2132.83,969.45,221.98,8397944.73,1562373.32
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14386865002395,-8.623216149978058,197.97,969.45,221.98,779490.53,145018.25
Old building,Ramalde,41.16074604352871,-8.643524967503138,410.99,969.45,221.98,21856910.88,4379104.07
Old building,Ramalde,41.16070526367161,-8.643286581358174,261.85,969.45,221.98,13925691.32,2790058.11
New building,Ramalde,41.160682083863016,-8.643115253132473,231.93,969.45,221.98,913211.02,169895.92
Old building,Ramalde,41.16058750465738,-8.643959454357182,270.24,969.45,221.98,14371588.9,2879395.16
Old building,Paranhos,41.18497079523027,-8.603094583381608,913.95,969.45,221.98,48604793.35,9738130.41
New building,Bonfim,41.160656711170525,-8.604045533777114,253.88,969.45,221.98,999644.51,185976.21
Old building,Bonfim,41.1598451774194,-8.603496451507752,2681.1,969.45,221.98,142584244.15,28567222.86
Old building,Bonfim,41.16047004859052,-8.604127515866585,480.82,969.45,221.98,25570634.18,5123160.76
Old building,Paranhos,41.17832582476607,-8.619971786511755,5240.48,969.45,221.98,278695545.08,55837570.23
Old building,Paranhos,41.17764196415847,-8.62129322257796,1700.74,969.45,221.98,90447319.49,18121418.31
New building,Lordelo do Ouro e Massarelos,41.15590891316056,-8.636883018798867,498.1,969.45,221.98,1961248.17,364875.21
Old building,"Aldoar, Foz do Douro e Nevogilde",41.15161800468933,-8.668696462198428,159.14,969.45,221.98,8463347.47,1695659.54
New building,Campanhã,41.14323461917187,-8.576657242220483,2158.27,969.45,221.98,8498109.25,1581008.16
New building,"Aldoar, Foz do Douro e Nevogilde",41.14804790056614,-8.673496798049651,718.91,969.45,221.98,2830697.44,526629.58
New building,Campanhã,41.14345632987279,-8.577470250847941,292.11,969.45,221.98,1150183.91,213982.91
New building,Campanhã,41.14340542158042,-8.576742061326177,1179.0,969.45,221.98,4642266.21,863658.08
New building,Lordelo do Ouro e Massarelos,41.14805147879023,-8.653095727848632,269.35,969.45,221.98,1060542.25,197305.77
New building,Campanhã,41.16267472194955,-8.577686383112969,1988.39,969.45,221.98,7829199.66,1456562.65
New building,Campanhã,41.16362352419127,-8.57739341580279,722.06,969.45,221.98,2843093.81,528935.84
New building,Campanhã,41.16456491081552,-8.577836990758158,5411.48,969.45,221.98,21307497.08,3964096.69
New building,Campanhã,41.16306653435198,-8.578941134933041,5201.37,969.45,221.98,20480161.69,3810177.28
New building,Campanhã,41.16359152298951,-8.578627236556038,2510.39,969.45,221.98,9884549.83,1838944.82
New building,Campanhã,41.16135435600017,-8.578809870758919,2505.73,969.45,221.98,9866192.37,1835529.55
New building,Campanhã,41.16230478068966,-8.580342857042428,1068.82,969.45,221.98,4208443.68,782948.72
New building,Campanhã,41.16155225527206,-8.580435269803386,1766.76,969.45,221.98,6956544.18,1294211.78
Old building,Campanhã,41.16197095600638,-8.577839349063135,219.47,969.45,221.98,11671894.12,2338502.42
New building,Campanhã,41.16352844181027,-8.580064160237793,434.99,969.45,221.98,1712772.13,318648.14
New building,Campanhã,41.16225838020338,-8.579160115644989,5634.66,969.45,221.98,22186256.2,4127583.1
New building,Campanhã,41.16269503180861,-8.580199426038448,1067.25,969.45,221.98,4202251.95,781796.8
New building,Campanhã,41.164016890827625,-8.578374136175057,2195.74,969.45,221.98,8645635.46,1608454.28
Old building,Lordelo do Ouro e Massarelos,41.146009843681306,-8.626911930261826,127.54,969.45,221.98,6782755.3,1358947.36
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14942481741684,-8.611566287278674,427.57,969.45,221.98,1683542.56,313210.2
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14995646617337,-8.611563925509438,506.54,969.45,221.98,26938206.61,5397158.4
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14927179238146,-8.611690157928281,218.31,969.45,221.98,859570.53,159916.52
Commercial building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14913317505415,-8.611956345194923,530.22,969.45,221.98,7591701.46,1412377.93
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.146190123297764,-8.612036437020747,351.34,969.45,221.98,1383375.63,257366.44
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.140190200139884,-8.613896050056123,168.85,969.45,221.98,8979890.94,1799150.72
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14977205056819,-8.611493873770533,205.64,969.45,221.98,10936255.71,2191114.85
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14023026510031,-8.613906466400351,121.67,969.45,221.98,479083.52,89129.82
Commercial building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14860409339224,-8.609560795197666,270.08,969.45,221.98,3867067.18,719438.24
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.150614049134795,-8.610022428709764,161.7,969.45,221.98,8599437.88,1722925.7
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.150981418853064,-8.609260840047835,1575.01,969.45,221.98,83761170.37,16781826.32
Commercial building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.149623284966154,-8.611534968836438,463.57,969.45,221.98,6637454.37,1234847.57
Old building,Lordelo do Ouro e Massarelos,41.15897431580553,-8.663810409948496,286.15,969.45,221.98,15218064.61,3048989.36
Old building,"Aldoar, Foz do Douro e Nevogilde",41.175011124861385,-8.666621825372513,607.92,969.45,221.98,32330194.76,6477460.99
Old building,"Aldoar, Foz do Douro e Nevogilde",41.173153063699246,-8.666493793316103,429.82,969.45,221.98,22858233.39,4579722.33
Old building,"Aldoar, Foz do Douro e Nevogilde",41.173847045076776,-8.666432016485395,453.44,969.45,221.98,24114504.59,4831420.41
Old building,"Aldoar, Foz do Douro e Nevogilde",41.174369990297315,-8.66689278575545,656.31,969.45,221.98,34903550.17,6993041.22
Old building,"Aldoar, Foz do Douro e Nevogilde",41.17279990281553,-8.666470900115046,408.98,969.45,221.98,21750052.33,4357694.61
