parish,lat,lon,EmgVuln
campanhã,41.14744,-8.57199,0.92234
campanhã,41.15194,-8.57202,0.91460
campanhã,41.15645,-8.57205,0.91025
campanhã,41.16095,-8.57208,0.90958
campanhã,41.16545,-8.57211,0.91263
campanhã,41.16995,-8.57214,0.91921
campanhã,41.17445,-8.57217,0.92888
paranhos,41.17896,-8.57220,0.94109
campanhã,41.14746,-8.56603,0.94889
campanhã,41.15197,-8.56606,0.94238
campanhã,41.15647,-8.56609,0.93875
campanhã,41.16097,-8.56612,0.93819
campanhã,41.16547,-8.56615,0.94074
campanhã,41.15199,-8.56010,0.96855
campanhã,41.15649,-8.56013,0.96548
