parish,lat,lon,UNEED,RenewPot,EmgVuln,PriorInfra,HeatInfra,HeatLoad,SocEcon
lordelo do ouro e massarelos,41.15612,-8.64948,0.58727,0.96924,0.82054,0.26511,0.40543,0.85550,0.48731
lordelo do ouro e massarelos,41.16063,-8.64952,0.58629,0.96924,0.81934,0.26511,0.40543,0.84883,0.48731
ramalde,41.16513,-8.64955,0.68443,0.94131,0.82474,0.28210,0.57500,0.86207,0.66451
ramalde,41.16963,-8.64959,0.68613,0.94131,0.83609,0.28210,0.57500,0.86427,0.66451
ramalde,41.17413,-8.64963,0.68936,0.94131,0.85219,0.28210,0.57500,0.87407,0.66451
ramalde,41.17863,-8.64966,0.69348,0.94131,0.87166,0.28210,0.57500,0.88756,0.66451
lordelo do ouro e massarelos,41.14715,-8.64346,0.58234,0.96924,0.81241,0.26511,0.40543,0.82416,0.48731
lordelo do ouro e massarelos,41.15165,-8.64349,0.58216,0.96924,0.79637,0.26511,0.40543,0.83878,0.48731
lordelo do ouro e massarelos,41.15615,-8.64353,0.58409,0.96924,0.78695,0.26511,0.40543,0.86363,0.48731
ramalde,41.16065,-8.64356,0.68382,0.94131,0.78547,0.28210,0.57500,0.89639,0.66451
ramalde,41.16516,-8.64360,0.68152,0.94131,0.79215,0.28210,0.57500,0.87135,0.66451
ramalde,41.16966,-8.64363,0.68081,0.94131,0.80601,0.28210,0.57500,0.85179,0.66451
ramalde,41.17416,-8.64367,0.68386,0.94131,0.82532,0.28210,0.57500,0.85686,0.66451
ramalde,41.17866,-8.64370,0.68685,0.94131,0.84818,0.28210,0.57500,0.85798,0.66451
ramalde,41.18316,-8.64374,0.69113,0.94131,0.87295,0.28210,0.57500,0.86744,0.66451
lordelo do ouro e massarelos,41.15168,-8.63754,0.58213,0.96924,0.76603,0.26511,0.40543,0.86884,0.48731
lordelo do ouro e massarelos,41.15618,-8.63757,0.57895,0.96924,0.75452,0.26511,0.40543,0.85495,0.48731
lordelo do ouro e massarelos,41.16068,-8.63761,0.58122,0.96924,0.75270,0.26511,0.40543,0.87495,0.48731
ramalde,41.16518,-8.63764,0.67622,0.94131,0.76089,0.28210,0.57500,0.86019,0.66451
ramalde,41.16968,-8.63767,0.67936,0.94131,0.77766,0.28210,0.57500,0.86855,0.66451
ramalde,41.17419,-8.63771,0.68355,0.94131,0.80054,0.28210,0.57500,0.87917,0.66451
ramalde,41.17869,-8.63774,0.68344,0.94131,0.82700,0.28210,0.57500,0.85189,0.66451
lordelo do ouro e massarelos,41.14720,-8.63155,0.57964,0.96924,0.76234,0.26511,0.40543,0.85261,0.48731
lordelo do ouro e massarelos,41.15170,-8.63158,0.57795,0.96924,0.73980,0.26511,0.40543,0.86163,0.48731
lordelo do ouro e massarelos,41.15620,-8.63161,0.57601,0.96924,0.72611,0.26511,0.40543,0.85986,0.48731
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16071,-8.63165,0.53715,0.95559,0.72392,1.00000,0.17391,0.87355,0.71808
ramalde,41.16521,-8.63168,0.67550,0.94131,0.73371,0.28210,0.57500,0.88163,0.66451
ramalde,41.16971,-8.63172,0.68313,0.94131,0.75347,0.28210,0.57500,0.92294,0.66451
ramalde,41.17421,-8.63175,0.67570,0.94131,0.77987,0.28210,0.57500,0.83705,0.66451
ramalde,41.17871,-8.63178,0.68192,0.94131,0.80973,0.28210,0.57500,0.85695,0.66451
lordelo do ouro e massarelos,41.14723,-8.62559,0.58102,0.96924,0.74639,0.26511,0.40543,0.87962,0.48731
lordelo do ouro e massarelos,41.15173,-8.62562,0.57589,0.96924,0.72123,0.26511,0.40543,0.86376,0.48731
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15623,-8.62566,0.53616,0.95559,0.70573,1.00000,0.17391,0.88380,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16073,-8.62569,0.53382,0.95559,0.70323,1.00000,0.17391,0.86757,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16523,-8.62572,0.53558,0.95559,0.71436,1.00000,0.17391,0.87050,0.71808
ramalde,41.16974,-8.62576,0.67311,0.94131,0.73654,0.28210,0.57500,0.85968,0.66451
paranhos,41.17424,-8.62579,0.68744,0.93487,0.76569,0.34540,0.58478,0.83677,0.71881
ramalde,41.17874,-8.62583,0.67946,0.94131,0.79811,0.28210,0.57500,0.84890,0.66451
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14275,-8.61960,0.54423,0.95559,0.77189,1.00000,0.17391,0.88222,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14725,-8.61963,0.55498,0.95559,0.74006,1.00000,0.17391,1.00000,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15175,-8.61967,0.53933,0.95559,0.71377,1.00000,0.17391,0.90116,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15625,-8.61970,0.53754,0.95559,0.69747,1.00000,0.17391,0.90310,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16076,-8.61973,0.53488,0.95559,0.69483,1.00000,0.17391,0.88443,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16526,-8.61977,0.53673,0.95559,0.70656,1.00000,0.17391,0.88753,0.71808
paranhos,41.16976,-8.61980,0.68574,0.93487,0.72979,0.34540,0.58478,0.85907,0.71881
paranhos,41.17426,-8.61983,0.68800,0.93487,0.76011,0.34540,0.58478,0.84683,0.71881
paranhos,41.17876,-8.61987,0.69591,0.93487,0.79359,0.34540,0.58478,0.87662,0.71881
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14277,-8.61365,0.54438,0.95559,0.77557,1.00000,0.17391,0.87975,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14728,-8.61368,0.54288,0.95559,0.74455,1.00000,0.17391,0.89878,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15178,-8.61371,0.53677,0.95559,0.71907,1.00000,0.17391,0.87536,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15628,-8.61374,0.53251,0.95559,0.70334,1.00000,0.17391,0.85703,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16078,-8.61378,0.53460,0.95559,0.70081,1.00000,0.17391,0.87623,0.71808
paranhos,41.16528,-8.61381,0.68585,0.93487,0.71211,0.34540,0.58478,0.87764,0.71881
paranhos,41.16979,-8.61384,0.68580,0.93487,0.73459,0.34540,0.58478,0.85480,0.71881
paranhos,41.17429,-8.61388,0.68933,0.93487,0.76407,0.34540,0.58478,0.85349,0.71881
paranhos,41.17879,-8.61391,0.69348,0.93487,0.79679,0.34540,0.58478,0.85399,0.71881
paranhos,41.18329,-8.61394,0.70104,0.93487,0.83022,0.34540,0.58478,0.88106,0.71881
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14280,-8.60769,0.54357,0.95559,0.78751,1.00000,0.17391,0.86130,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14730,-8.60772,0.55048,0.95559,0.75900,1.00000,0.17391,0.94511,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15180,-8.60775,0.53982,0.95559,0.73594,1.00000,0.17391,0.88291,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15630,-8.60779,0.53524,0.95559,0.72189,1.00000,0.17391,0.86025,0.71808
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16081,-8.60782,0.53931,0.95559,0.71965,1.00000,0.17391,0.89506,0.71808
paranhos,41.16531,-8.60785,0.68684,0.93487,0.72970,0.34540,0.58478,0.86796,0.71881
paranhos,41.16981,-8.60788,0.68674,0.93487,0.74994,0.34540,0.58478,0.84693,0.71881
paranhos,41.17431,-8.60792,0.69539,0.93487,0.77689,0.34540,0.58478,0.88917,0.71881
paranhos,41.17881,-8.60795,0.69924,0.93487,0.80728,0.34540,0.58478,0.88957,0.71881
paranhos,41.18332,-8.60798,0.70214,0.93487,0.83874,0.34540,0.58478,0.88135,0.71881
bonfim,41.14282,-8.60173,0.62994,0.97790,0.80602,0.25289,0.45217,0.84476,0.68189
bonfim,41.14732,-8.60177,0.63041,0.97790,0.78095,0.25289,0.45217,0.87358,0.68189
bonfim,41.15183,-8.60180,0.62677,0.97790,0.76112,0.25289,0.45217,0.86430,0.68189
bonfim,41.15633,-8.60183,0.62365,0.97790,0.74923,0.25289,0.45217,0.85119,0.68189
bonfim,41.16083,-8.60186,0.62565,0.97790,0.74735,0.25289,0.45217,0.86911,0.68189
paranhos,41.16533,-8.60189,0.69001,0.93487,0.75582,0.34540,0.58478,0.86718,0.71881
paranhos,41.16983,-8.60193,0.69441,0.93487,0.77311,0.34540,0.58478,0.88512,0.71881
paranhos,41.17434,-8.60196,0.69471,0.93487,0.79662,0.34540,0.58478,0.86404,0.71881
paranhos,41.17884,-8.60199,0.69940,0.93487,0.82370,0.34540,0.58478,0.87449,0.71881
paranhos,41.18334,-8.60202,0.70162,0.93487,0.85230,0.34540,0.58478,0.86360,0.71881
bonfim,41.14285,-8.59578,0.63614,0.97790,0.82894,0.25289,0.45217,0.87141,0.68189
bonfim,41.14735,-8.59581,0.63162,0.97790,0.80753,0.25289,0.45217,0.85671,0.68189
bonfim,41.15185,-8.59584,0.63153,0.97790,0.79096,0.25289,0.45217,0.87251,0.68189
bonfim,41.15635,-8.59587,0.63210,0.97790,0.78121,0.25289,0.45217,0.88686,0.68189
bonfim,41.16085,-8.59591,0.62884,0.97790,0.77968,0.25289,0.45217,0.86225,0.68189
paranhos,41.16536,-8.59594,0.69274,0.93487,0.78660,0.34540,0.58478,0.85827,0.71881
paranhos,41.16986,-8.59597,0.69361,0.93487,0.80095,0.34540,0.58478,0.85087,0.71881
paranhos,41.17436,-8.59600,0.69498,0.93487,0.82086,0.34540,0.58478,0.84192,0.71881
paranhos,41.17886,-8.59603,0.70661,0.93487,0.84433,0.34540,0.58478,0.91152,0.71881
bonfim,41.14287,-8.58982,0.63330,0.97790,0.85433,0.25289,0.45217,0.82334,0.68189
bonfim,41.14737,-8.58985,0.63559,0.97790,0.83632,0.25289,0.45217,0.85961,0.68189
campanhã,41.15187,-8.58989,0.69215,0.92138,0.82266,0.13861,0.63478,0.88880,0.56374
campanhã,41.15638,-8.58992,0.68630,0.92138,0.81474,0.13861,0.63478,0.84991,0.56374
campanhã,41.16088,-8.58995,0.68887,0.92138,0.81351,0.13861,0.63478,0.87167,0.56374
bonfim,41.16538,-8.58998,0.63219,0.97790,0.81911,0.25289,0.45217,0.84962,0.68189
paranhos,41.16988,-8.59001,0.69564,0.93487,0.83086,0.34540,0.58478,0.83721,0.71881
paranhos,41.17438,-8.59004,0.70148,0.93487,0.84749,0.34540,0.58478,0.86730,0.71881
paranhos,41.17889,-8.59007,0.70292,0.93487,0.86751,0.34540,0.58478,0.85880,0.71881
campanhã,41.14289,-8.58387,0.69207,0.92138,0.88072,0.13861,0.63478,0.83006,0.56374
campanhã,41.14740,-8.58390,0.69362,0.92138,0.86565,0.13861,0.63478,0.85751,0.56374
campanhã,41.15190,-8.58393,0.69598,0.92138,0.85441,0.13861,0.63478,0.88768,0.56374
campanhã,41.15640,-8.58396,0.68904,0.92138,0.84798,0.13861,0.63478,0.83857,0.56374
campanhã,41.16090,-8.58399,0.69467,0.92138,0.84698,0.13861,0.63478,0.88458,0.56374
campanhã,41.16540,-8.58402,0.69078,0.92138,0.85152,0.13861,0.63478,0.84893,0.56374
campanhã,41.16991,-8.58405,0.69185,0.92138,0.86114,0.13861,0.63478,0.84789,0.56374
paranhos,41.17441,-8.58408,0.70482,0.93487,0.87496,0.34540,0.58478,0.86653,0.71881
paranhos,41.17891,-8.58411,0.70330,0.93487,0.89193,0.34540,0.58478,0.83745,0.71881
campanhã,41.14292,-8.57791,0.69389,0.92138,0.90714,0.13861,0.63478,0.81821,0.56374
campanhã,41.14742,-8.57794,0.69392,0.92138,0.89450,0.13861,0.63478,0.83111,0.56374
campanhã,41.15192,-8.57797,0.69237,0.92138,0.88521,0.13861,0.63478,0.82794,0.56374
campanhã,41.15642,-8.57800,0.69313,0.92138,0.87995,0.13861,0.63478,0.83932,0.56374
campanhã,41.16093,-8.57803,0.69341,0.92138,0.87913,0.13861,0.63478,0.84238,0.56374
campanhã,41.16543,-8.57806,0.69548,0.92138,0.88284,0.13861,0.63478,0.85520,0.56374
campanhã,41.16993,-8.57809,0.69357,0.92138,0.89076,0.13861,0.63478,0.83206,0.56374
campanhã,41.17443,-8.57813,0.69635,0.92138,0.90229,0.13861,0.63478,0.84277,0.56374
paranhos,41.17893,-8.57816,0.70422,0.93487,0.91666,0.34540,0.58478,0.82008,0.71881
campanhã,41.14294,-8.57196,0.69590,0.92138,0.93298,0.13861,0.63478,0.80843,0.56374
campanhã,41.14744,-8.57199,0.70094,0.92138,0.92234,0.13861,0.63478,0.85939,0.56374
campanhã,41.15194,-8.57202,0.69844,0.92138,0.91460,0.13861,0.63478,0.84717,0.56374
campanhã,41.15645,-8.57205,0.69577,0.92138,0.91025,0.13861,0.63478,0.83013,0.56374
campanhã,41.16095,-8.57208,0.69746,0.92138,0.90958,0.13861,0.63478,0.84434,0.56374
campanhã,41.16545,-8.57211,0.69933,0.92138,0.91263,0.13861,0.63478,0.85621,0.56374
campanhã,41.16995,-8.57214,0.69800,0.92138,0.91921,0.13861,0.63478,0.83900,0.56374
campanhã,41.17445,-8.57217,0.69585,0.92138,0.92888,0.13861,0.63478,0.81216,0.56374
paranhos,41.17896,-8.57220,0.70865,0.93487,0.94109,0.34540,0.58478,0.83110,0.71881
campanhã,41.14746,-8.56603,0.69958,0.92138,0.94889,0.13861,0.63478,0.82194,0.56374
campanhã,41.15197,-8.56606,0.71013,0.92138,0.94238,0.13861,0.63478,0.91291,0.56374
campanhã,41.15647,-8.56609,0.69908,0.92138,0.93875,0.13861,0.63478,0.82815,0.56374
campanhã,41.16097,-8.56612,0.70085,0.92138,0.93819,0.13861,0.63478,0.84280,0.56374
campanhã,41.16547,-8.56615,0.69822,0.92138,0.94074,0.13861,0.63478,0.81923,0.56374
campanhã,41.15199,-8.56010,0.70188,0.92138,0.96855,0.13861,0.63478,0.82069,0.56374
campanhã,41.15649,-8.56013,0.70000,0.92138,0.96548,0.13861,0.63478,0.80874,0.56374
