parish,lat,lon,UNEED,RenewPot,EmgVuln,PriorInfra,HeatInfra,HeatLoad,SocEcon
lordelo do ouro e massarelos,41.16060,-8.65548,0.74071,0.96924,0.85263,0.26511,0.40543,0.88822,0.48731
ramalde,41.16510,-8.65551,0.77966,0.94131,0.85701,0.28210,0.57500,0.85841,0.66451
ramalde,41.16960,-8.65555,0.78267,0.94131,0.86631,0.28210,0.57500,0.84896,0.66451
ramalde,41.17411,-8.65558,0.79273,0.94131,0.87970,0.28210,0.57500,0.88123,0.66451
lordelo do ouro e massarelos,41.14712,-8.64941,0.72790,0.96924,0.84139,0.26511,0.40543,0.82618,0.48731
lordelo do ouro e massarelos,41.15162,-8.64945,0.72621,0.96924,0.82818,0.26511,0.40543,0.86020,0.48731
lordelo do ouro e massarelos,41.15612,-8.64948,0.72218,0.96924,0.82054,0.26511,0.40543,0.85550,0.48731
lordelo do ouro e massarelos,41.16063,-8.64952,0.72081,0.96924,0.81934,0.26511,0.40543,0.84883,0.48731
ramalde,41.16513,-8.64955,0.76560,0.94131,0.82474,0.28210,0.57500,0.86207,0.66451
ramalde,41.16963,-8.64959,0.77098,0.94131,0.83609,0.28210,0.57500,0.86427,0.66451
ramalde,41.17413,-8.64963,0.77945,0.94131,0.85219,0.28210,0.57500,0.87407,0.66451
ramalde,41.17863,-8.64966,0.78990,0.94131,0.87166,0.28210,0.57500,0.88756,0.66451
lordelo do ouro e massarelos,41.14715,-8.64346,0.71461,0.96924,0.81241,0.26511,0.40543,0.82416,0.48731
lordelo do ouro e massarelos,41.15165,-8.64349,0.70922,0.96924,0.79637,0.26511,0.40543,0.83878,0.48731
lordelo do ouro e massarelos,41.15615,-8.64353,0.70808,0.96924,0.78695,0.26511,0.40543,0.86363,0.48731
ramalde,41.16065,-8.64356,0.75222,0.94131,0.78547,0.28210,0.57500,0.89639,0.66451
ramalde,41.16516,-8.64360,0.75209,0.94131,0.79215,0.28210,0.57500,0.87135,0.66451
